AAPL,2021-10-10T02:19:00+03:00,112.093206,119.966662,100.089786,113.767608
SBER,2021-10-10T02:19:00+03:00,218.810182,219.983190,200.038078,206.099694
NVDA,2021-10-10T02:19:00+03:00,313.291201,319.782642,300.010276,305.474675
TSLA,2021-10-10T02:19:00+03:00,408.754284,419.965476,400.132539,415.019019
AAPL,2021-10-10T02:20:00+03:00,114.505521,119.990848,100.018163,113.160895
SBER,2021-10-10T02:20:00+03:00,206.578286,219.965096,200.042113,218.529480
NVDA,2021-10-10T02:20:00+03:00,305.566265,319.911454,300.045022,300.454270
TSLA,2021-10-10T02:20:00+03:00,418.358453,419.938427,400.086028,404.921291
NVDA,2021-10-10T02:21:00+03:00,300.464198,319.988551,300.017246,308.831535
TSLA,2021-10-10T02:21:00+03:00,406.987623,419.993216,400.112419,405.338744
AAPL,2021-10-10T02:21:00+03:00,103.689442,119.853318,100.033025,106.172636
SBER,2021-10-10T02:21:00+03:00,215.216071,219.967277,200.148559,212.419005
TSLA,2021-10-10T02:22:00+03:00,415.425977,419.617960,400.057298,414.845480
AAPL,2021-10-10T02:22:00+03:00,101.217861,119.844448,100.023533,118.111640
SBER,2021-10-10T02:22:00+03:00,209.710477,219.929674,200.001946,202.563300
NVDA,2021-10-10T02:22:00+03:00,310.853256,319.988040,300.026642,318.501860
AAPL,2021-10-10T02:23:00+03:00,111.799224,119.849629,100.043444,107.071207
SBER,2021-10-10T02:23:00+03:00,214.614103,219.930591,200.111580,200.195723
NVDA,2021-10-10T02:23:00+03:00,315.307014,319.968972,300.223249,308.003176
TSLA,2021-10-10T02:23:00+03:00,413.385705,419.998340,400.240337,415.108234
TSLA,2021-10-10T02:24:00+03:00,416.356165,419.889402,400.002406,413.286676
AAPL,2021-10-10T02:24:00+03:00,106.486482,119.999936,100.155503,114.180017
SBER,2021-10-10T02:24:00+03:00,219.216625,219.997783,200.050280,214.527865
NVDA,2021-10-10T02:24:00+03:00,306.208618,319.849974,300.121069,300.146984
AAPL,2021-10-10T02:25:00+03:00,100.423399,119.686356,100.132953,116.219897
SBER,2021-10-10T02:25:00+03:00,205.848591,219.975287,200.059561,212.991304
NVDA,2021-10-10T02:25:00+03:00,303.918154,319.989096,300.270173,303.271613
TSLA,2021-10-10T02:25:00+03:00,416.454618,419.966957,400.082352,403.868570
AAPL,2021-10-10T02:26:00+03:00,100.842124,119.996206,100.005921,117.779705
SBER,2021-10-10T02:26:00+03:00,212.789247,219.941772,200.021523,206.183793
NVDA,2021-10-10T02:26:00+03:00,312.833986,319.975775,300.079630,316.969053
TSLA,2021-10-10T02:26:00+03:00,419.618963,419.996671,400.038758,409.370762
SBER,2021-10-10T02:27:00+03:00,214.766320,219.823312,200.085763,219.353293
NVDA,2021-10-10T02:27:00+03:00,303.359909,319.992628,300.013908,318.945186
TSLA,2021-10-10T02:27:00+03:00,402.485997,419.977692,400.019407,405.075590
AAPL,2021-10-10T02:27:00+03:00,100.927194,119.993703,100.021025,109.260092
TSLA,2021-10-10T02:28:00+03:00,415.906994,419.979620,400.205594,406.456332
AAPL,2021-10-10T02:28:00+03:00,111.828180,119.905664,100.002786,119.820512
SBER,2021-10-10T02:28:00+03:00,207.354548,219.933715,200.052988,209.450377
NVDA,2021-10-10T02:28:00+03:00,308.829275,319.958595,300.097934,308.212935
AAPL,2021-10-10T02:29:00+03:00,112.124250,119.971582,100.000049,113.517663
SBER,2021-10-10T02:29:00+03:00,208.426328,219.879073,200.142589,211.082359
NVDA,2021-10-10T02:29:00+03:00,311.154230,319.999848,300.038304,318.992198
TSLA,2021-10-10T02:29:00+03:00,418.778006,419.980909,400.170730,405.328138
NVDA,2021-10-10T02:30:00+03:00,318.119418,319.988657,300.045073,311.195662
TSLA,2021-10-10T02:30:00+03:00,404.800775,419.890504,400.124204,418.499278
AAPL,2021-10-10T02:30:00+03:00,113.562550,119.989867,100.057794,119.635217
SBER,2021-10-10T02:30:00+03:00,208.022476,219.995173,200.067515,205.658204
AAPL,2021-10-10T02:31:00+03:00,101.722602,119.878578,100.031798,100.325211
SBER,2021-10-10T02:31:00+03:00,213.191485,219.785233,200.027384,215.297600
NVDA,2021-10-10T02:31:00+03:00,302.435405,319.982974,300.036709,302.050405
TSLA,2021-10-10T02:31:00+03:00,415.340479,419.986111,400.006022,410.487511
AAPL,2021-10-10T02:32:00+03:00,108.400298,119.919993,100.014640,111.303138
SBER,2021-10-10T02:32:00+03:00,213.259087,219.937243,200.059187,200.167494
NVDA,2021-10-10T02:32:00+03:00,301.390069,319.897665,300.008205,318.662085
TSLA,2021-10-10T02:32:00+03:00,411.034531,419.940487,400.193109,418.106815
NVDA,2021-10-10T02:33:00+03:00,319.542392,319.803703,300.018298,316.826562
TSLA,2021-10-10T02:33:00+03:00,413.919490,419.968621,400.163247,419.447878
AAPL,2021-10-10T02:33:00+03:00,117.054083,119.944098,100.075056,116.533608
SBER,2021-10-10T02:33:00+03:00,202.666935,219.999516,200.082041,200.405328
AAPL,2021-10-10T02:34:00+03:00,103.157919,119.958664,100.117330,103.262329
SBER,2021-10-10T02:34:00+03:00,212.131871,219.988645,200.013625,208.158266
NVDA,2021-10-10T02:34:00+03:00,317.739686,319.985427,300.008021,307.739593
TSLA,2021-10-10T02:34:00+03:00,409.347432,419.961946,400.015228,400.582047
AAPL,2021-10-10T02:35:00+03:00,101.300488,119.995203,100.018588,104.398283
SBER,2021-10-10T02:35:00+03:00,206.682904,219.974709,200.202827,209.705175
NVDA,2021-10-10T02:35:00+03:00,300.713094,319.989451,300.004890,306.101591
TSLA,2021-10-10T02:35:00+03:00,401.357972,419.961927,400.002141,412.391263
TSLA,2021-10-10T02:36:00+03:00,405.464179,419.935010,400.170986,414.094989
AAPL,2021-10-10T02:36:00+03:00,111.258150,119.990777,100.028452,119.990777
SBER,2021-10-10T02:36:00+03:00,201.269860,219.984909,200.000609,203.998668
NVDA,2021-10-10T02:36:00+03:00,308.987735,319.941257,300.002673,302.196582
AAPL,2021-10-10T02:37:00+03:00,109.257878,119.954810,100.030172,117.213041
SBER,2021-10-10T02:37:00+03:00,219.014883,219.954377,200.010548,215.076514
NVDA,2021-10-10T02:37:00+03:00,315.718840,319.962659,300.035239,315.632935
TSLA,2021-10-10T02:37:00+03:00,406.697812,419.903268,400.075829,416.359550
AAPL,2021-10-10T02:38:00+03:00,114.136976,119.960456,100.258747,106.275791
SBER,2021-10-10T02:38:00+03:00,215.518984,219.880960,200.048006,205.992430
NVDA,2021-10-10T02:38:00+03:00,314.033161,319.689293,300.055584,309.404624
TSLA,2021-10-10T02:38:00+03:00,404.698582,419.794337,400.019764,407.097016
NVDA,2021-10-10T02:39:00+03:00,312.796399,319.996111,300.041780,309.167967
TSLA,2021-10-10T02:39:00+03:00,405.526964,419.883557,400.270571,412.383023
AAPL,2021-10-10T02:39:00+03:00,106.870272,119.995970,100.000413,109.458970
SBER,2021-10-10T02:39:00+03:00,211.638058,219.838608,200.050559,213.943408
